Date,Clicks,Impressions,CTR,Position
2025-10-21,0,1,0%,1
2025-10-22,0,0,,
2025-10-23,0,0,,
2025-10-24,0,0,,
2025-10-25,0,0,,
2025-10-26,0,0,,
2025-10-27,0,0,,
2025-10-28,0,1,0%,63
2025-10-29,0,0,,
2025-10-30,0,0,,
2025-10-31,0,0,,
2025-11-01,0,2,0%,4
2025-11-02,0,0,,
2025-11-03,0,0,,
2025-11-04,0,0,,
2025-11-05,0,1,0%,1
2025-11-06,0,0,,
2025-11-07,0,0,,
2025-11-08,0,0,,
2025-11-09,0,0,,
2025-11-10,0,0,,
2025-11-11,0,0,,
2025-11-12,0,0,,
2025-11-13,0,0,,
2025-11-14,0,3,0%,3
2025-11-15,1,1,100%,1
2025-11-16,0,0,,
2025-11-17,0,1,0%,1
2025-11-18,0,1,0%,1
2025-11-19,1,1,100%,1
2025-11-20,0,0,,
2025-11-21,0,0,,
2025-11-22,0,0,,
2025-11-23,0,0,,
2025-11-24,0,0,,
2025-11-25,0,2,0%,1
2025-11-26,0,1,0%,78
2025-11-27,0,0,,
2025-11-28,0,0,,
2025-11-29,0,0,,
2025-11-30,0,1,0%,12
2025-12-01,0,1,0%,9
2025-12-02,0,1,0%,3
2025-12-03,0,1,0%,4
2025-12-04,0,0,,
2025-12-05,0,1,0%,5
2025-12-06,1,5,20%,3.8
2025-12-07,0,0,,
2025-12-08,0,0,,
2025-12-09,0,0,,
2025-12-10,1,1,100%,1
2025-12-11,0,0,,
2025-12-12,0,0,,
2025-12-13,1,3,33.33%,3.3
2025-12-14,1,1,100%,5
2025-12-15,1,2,50%,2.5
2025-12-16,0,0,,
2025-12-17,0,0,,
2025-12-18,0,0,,
2025-12-19,0,1,0%,3
2025-12-20,0,0,,
2025-12-21,0,1,0%,7
2025-12-22,0,0,,
2025-12-23,0,1,0%,1
2025-12-24,0,1,0%,1
2025-12-25,0,0,,
2025-12-26,0,0,,
2025-12-27,0,0,,
2025-12-28,0,0,,
2025-12-29,0,1,0%,2
2025-12-30,0,0,,
