Top queries,Clicks,Impressions,CTR,Position
sobriety counter app,0,3,0%,27.33
free sobriety counter,0,3,0%,55
sober counter app,0,2,0%,29.5
sober app counter free,0,2,0%,32
sober tracker app,0,2,0%,46
sober tracker free,0,2,0%,46.5
sober app tracker,0,2,0%,47
best sobriety calculator,0,2,0%,55.5
(inurl:post) remorse,0,1,0%,16
tally app,0,1,0%,19
sobriety clock app,0,1,0%,37
sobriety tracking app,0,1,0%,47
sobriety app free,0,1,0%,52
free sober tracking app,0,1,0%,53
sober tracker,0,1,0%,56
sober calculator,0,1,0%,78
addiction tracker website,0,1,0%,83
sobriety clock,0,1,0%,95
sobriety calculator,0,1,0%,104
